                    CPU0       CPU1       CPU2       CPU3       CPU4       CPU5       CPU6       CPU7       
       TIMER:      73949      64542      64300      63541      69631      69400      48677      45636
      NET_TX:        881        701       3705       4955        740        588       3740       2993
      NET_RX:      17634      19480       4332       5733         42         44       2716       2040
       BLOCK:      55914       3085          2          4          0          0      10296      19676
    IRQ_POLL:          0          0          0          0          0          0          0          0
     TASKLET:      13534      34025        396        509        208        128         59          5
       SCHED:      57500      49370      45650      45072      45734      46240      38202      32628
     HRTIMER:          1          0        256        756          0          0        465        308
         RCU:      48914      47474      50517      49787      53910      54045      40248      39392
                    CPU0       CPU1       CPU2       CPU3       CPU4       CPU5       CPU6       CPU7       
          HI:      15460      13303          2          4          0          0          0          0
       TIMER:      73986      64575      64340      63567      69647      69432      48708      45660
      NET_TX:        881        701       3705       4955        740        588       3740       2993
      NET_RX:      17634      19480       4332       5733         42         44       2716       2040
       BLOCK:      55918       3085          2          4          0          0      10296      19676
    IRQ_POLL:          0          0          0          0          0          0          0          0
     TASKLET:      13534      34025        396        509        208        128         59          5
       SCHED:      57535      49402      45689      45094      45749      46265      38234      32652
     HRTIMER:          1          0        256        756          0          0        465        308
         RCU:      48942      47504      50551      49813      53925      54073      40279      39414
                    CPU0       CPU1       CPU2       CPU3       CPU4       CPU5       CPU6       CPU7       
          HI:      15460      13303          2          4          0          0          0          0
       TIMER:      74018      64588      64352      63579      69660      69455      48719      45677
      NET_TX:        882        701       3705       4955        740        588       3740       2993
      NET_RX:      17634      19480       4332       5733         42         44       2716       2040
       BLOCK:      55918       3085          2          4          0          0      10296      19676
    IRQ_POLL:          0          0          0          0          0          0          0          0
     TASKLET:      13534      34025        396        509        208        128         59          5
       SCHED:      57564      49414      45700      45106      45761      46288      38245      32669
     HRTIMER:          1          0        256        756          0          0        465        308
         RCU:      48971      47516      50562      49825      53937      54095      40290      39431
                    CPU0       CPU1       CPU2       CPU3       CPU4       CPU5       CPU6       CPU7       
          HI:      15460      13303          2          4          0          0          0          0
       TIMER:      74030      64606      64363      63588      69689      69470      48727      45689
      NET_TX:        882        701       3705       4955        740        588       3740       2993
      NET_RX:      17634      19480       4332       5733         42         44       2716       2040
       BLOCK:      55918       3085          2          4          0          0      10296      19676
    IRQ_POLL:          0          0          0          0          0          0          0          0
     TASKLET:      13536      34025        396        509        208        128         59          5
       SCHED:      57574      49429      45710      45114      45789      46302      38253      32681
     HRTIMER:          1          0        256        756          0          0        465        308
         RCU:      48981      47531      50572      49833      53956      54107      40298      39443
                    CPU0       CPU1       CPU2       CPU3       CPU4       CPU5       CPU6       CPU7       
          HI:      15460      13303          2          4          0          0          0          0
       TIMER:      74045      64619      64373      63597      69717      69486      48734      45704
      NET_TX:        882        701       3705       4955        740        588       3740       2993
      NET_RX:      17634      19480       4332       5733         42         44       2716       2040
       BLOCK:      55920       3085          2          4          0          0      10296      19676
    IRQ_POLL:          0          0          0          0          0          0          0          0
     TASKLET:      13536      34025        396        509        208        128         59          5
       SCHED:      57586      49440      45718      45123      45817      46318      38260      32696
     HRTIMER:          1          0        256        756          0          0        465        308
         RCU:      48993      47541      50580      49842      53976      54123      40305      39458
                    CPU0       CPU1       CPU2       CPU3       CPU4       CPU5       CPU6       CPU7       
