Time,Source_IP,Dest_IP,Protocol,Summary,
0.122284,100.122.218.243,198.224.186.135,DNS,8 0.122284 11:55:29.651128 100.122.218.243 198.224.186.135 DNS 94  Standard query 0x59f0 A arcorecloudanchor.googleapis.com,
0.178115,198.224.186.135,100.122.218.243,DNS,12 0.178115 11:55:29.706959 198.224.186.135 100.122.218.243 DNS 122  Standard query response 0x653c AAAA arcorecloudanchor.googleapis.com AAAA 2607:f8b0:4006:81c::200a,
5.003692,100.122.218.243,198.224.187.135,DNS,13 5.003692 11:55:34.532536 100.122.218.243 198.224.187.135 DNS 94  Standard query 0x59f0 A arcorecloudanchor.googleapis.com,
5.055326,198.224.187.135,100.122.218.243,DNS,19 5.055326 11:55:34.584170 198.224.187.135 100.122.218.243 DNS 110  Standard query response 0x59f0 A arcorecloudanchor.googleapis.com A 142.250.65.170,
5.607595,100.122.218.243,198.224.186.135,DNS,69 5.607595 11:55:35.136439 100.122.218.243 198.224.186.135 DNS 94  Standard query 0x6697 AAAA visualpositioning.googleapis.com,
5.609721,100.122.218.243,198.224.186.135,DNS,71 5.609721 11:55:35.138565 100.122.218.243 198.224.186.135 DNS 94  Standard query 0xe330 A visualpositioning.googleapis.com,
5.656631,198.224.186.135,100.122.218.243,DNS,76 5.656631 11:55:35.185475 198.224.186.135 100.122.218.243 DNS 122  Standard query response 0x6697 AAAA visualpositioning.googleapis.com AAAA 2607:f8b0:4006:816::200a,
5.666961,198.224.186.135,100.122.218.243,DNS,78 5.666961 11:55:35.195805 198.224.186.135 100.122.218.243 DNS 110  Standard query response 0xe330 A visualpositioning.googleapis.com A 142.250.65.234,
