                    CPU0       CPU1       CPU2       CPU3       CPU4       CPU5       CPU6       CPU7       
          HI:          0      27407          0          0          0          0          0          0
       TIMER:      24278      20708      21822      21039      21490      21331      19697      24382
      NET_TX:        372        442       2850       4034        408        424       6340       7111
      NET_RX:       6469      32511       5707       6356         32         24        109       1942
       BLOCK:      90761        881          0          0          0          0      13006      42412
    IRQ_POLL:          0          0          0          0          0          0          0          0
     TASKLET:       3902      14736        139        204         61         84         28         30
       SCHED:      21102      17945      17315      16594      13750      13714      18243      22962
     HRTIMER:         18          8        540       1112          0          0          7        718
         RCU:      18462      17456      19514      18932      19740      19504      17186      26168
                    CPU0       CPU1       CPU2       CPU3       CPU4       CPU5       CPU6       CPU7       
          HI:          0      27407          0          0          0          0          0          0
       TIMER:      24278      20716      21832      21040      21491      21341      19700      24388
      NET_TX:        372        442       2850       4034        408        424       6340       7111
      NET_RX:       6469      32511       5707       6356         32         24        109       1942
       BLOCK:      90761        881          0          0          0          0      13006      42412
    IRQ_POLL:          0          0          0          0          0          0          0          0
     TASKLET:       3902      14736        139        204         61         84         28         30
       SCHED:      21102      17953      17329      16595      13751      13724      18246      22970
     HRTIMER:         18          8        540       1112          0          0          7        718
         RCU:      18462      17463      19528      18933      19741      19514      17189      26175
                    CPU0       CPU1       CPU2       CPU3       CPU4       CPU5       CPU6       CPU7       
          HI:          0      27407          0          0          0          0          0          0
       TIMER:      24281      20736      21842      21051      21503      21350      19707      24401
      NET_TX:        372        442       2850       4034        408        424       6340       7111
      NET_RX:       6469      32511       5707       6356         32         24        109       1942
       BLOCK:      90764        881          0          0          0          0      13006      42412
    IRQ_POLL:          0          0          0          0          0          0          0          0
     TASKLET:       3902      14736        139        204         61         84         28         30
       SCHED:      21105      17973      17341      16607      13762      13732      18254      22989
     HRTIMER:         18          8        540       1112          0          0          7        718
         RCU:      18465      17481      19540      18944      19753      19523      17196      26193
                    CPU0       CPU1       CPU2       CPU3       CPU4       CPU5       CPU6       CPU7       
          HI:          0      27407          0          0          0          0          0          0
       TIMER:      24284      20741      21857      21061      21516      21354      19710      24414
      NET_TX:        372        442       2850       4034        408        424       6340       7111
      NET_RX:       6469      32511       5707       6356         32         24        109       1942
       BLOCK:      90764        881          0          0          0          0      13006      42412
    IRQ_POLL:          0          0          0          0          0          0          0          0
     TASKLET:       3902      14736        139        204         61         84         28         30
       SCHED:      21108      17978      17357      16617      13776      13736      18257      23007
     HRTIMER:         18          8        540       1112          0          0          7        718
         RCU:      18468      17485      19556      18954      19766      19527      17199      26211
                    CPU0       CPU1       CPU2       CPU3       CPU4       CPU5       CPU6       CPU7       
          HI:          0      27407          0          0          0          0          0          0
       TIMER:      24285      20745      21877      21066      21529      21357      19715      24426
      NET_TX:        372        442       2850       4034        408        424       6340       7111
      NET_RX:       6469      32511       5707       6356         32         24        109       1942
       BLOCK:      90764        881          0          0          0          0      13006      42412
    IRQ_POLL:          0          0          0          0          0          0          0          0
     TASKLET:       3902      14736        139        204         61         84         28         30
       SCHED:      21109      17982      17377      16622      13791      13739      18263      23027
     HRTIMER:         18          8        540       1112          0          0          7        718
         RCU:      18469      17489      19575      18959      19780      19530      17205      26231
                    CPU0       CPU1       CPU2       CPU3       CPU4       CPU5       CPU6       CPU7       
          HI:          0      27407          0          0          0          0          0          0
       TIMER:      24287      20749      21896      21069      21542      21363      19719      24438
      NET_TX:        372        442       2850       4034        408        424       6340       7111
      NET_RX:       6469      32511       5707       6356         32         24        109       1942
       BLOCK:      90766        881          0          0          0          0      13006      42412
    IRQ_POLL:          0          0          0          0          0          0          0          0
     TASKLET:       3902      14736        139        204         61         84         28         30
       SCHED:      21112      17986      17396      16625      13806      13745      18267      23046
     HRTIMER:         18          8        540       1112          0          0          7        718
         RCU:      18472      17493      19593      18962      19794      19536      17209      26250
                    CPU0       CPU1       CPU2       CPU3       CPU4       CPU5       CPU6       CPU7       
          HI:          0      27407          0          0          0          0          0          0
       TIMER:      24293      20754      21914      21074      21545      21380      19724      24452
      NET_TX:        372        442       2850       4034        408        424       6340       7111
      NET_RX:       6469      32511       5707       6356         32         24        109       1942
       BLOCK:      90769        881          0          0          0          0      13006      42413
    IRQ_POLL:          0          0          0          0          0          0          0          0
     TASKLET:       3902      14736        139        204         61         84         28         30
       SCHED:      21117      17991      17413      16630      13808      13763      18272      23065
     HRTIMER:         18          8        540       1112          0          0          7        718
         RCU:      18478      17498      19610      18967      19797      19554      17214      26269
                    CPU0       CPU1       CPU2       CPU3       CPU4       CPU5       CPU6       CPU7       
          HI:          0      27407          0          0          0          0          0          0
       TIMER:      24303      20764      21927      21092      21555      21390      19733      24468
      NET_TX:        372        442       2850       4034        408        424       6340       7111
      NET_RX:       6469      32511       5707       6356         32         24        109       1942
       BLOCK:      90771        881          0          0          0          0      13006      42413
    IRQ_POLL:          0          0          0          0          0          0          0          0
     TASKLET:       3902      14736        139        204         61         84         28         30
       SCHED:      21125      18001      17424      16650      13812      13773      18282      23087
     HRTIMER:         18          8        540       1112          0          0          7        718
         RCU:      18488      17508      19623      18979      19805      19562      17223      26290
                    CPU0       CPU1       CPU2       CPU3       CPU4       CPU5       CPU6       CPU7       
          HI:          0      27407          0          0          0          0          0          0
       TIMER:      24323      20780      21940      21111      21570      21406      19747      24486
      NET_TX:        372        442       2850       4034        408        424       6340       7111
      NET_RX:       6469      32511       5707       6356         32         24        109       1942
       BLOCK:      90779        881          0          0          0          0      13006      42414
    IRQ_POLL:          0          0          0          0          0          0          0          0
     TASKLET:       3902      14736        139        204         61         84         28         30
       SCHED:      21143      18018      17436      16669      13819      13785      18296      23105
     HRTIMER:         18          8        540       1112          0          0          7        718
         RCU:      18506      17525      19636      18999      19820      19576      17238      26311
                    CPU0       CPU1       CPU2       CPU3       CPU4       CPU5       CPU6       CPU7       
          HI:          0      27435          0          0          0          0          0          0
       TIMER:      24345      20808      21963      21133      21588      21429      19761      24511
      NET_TX:        372        442       2850       4034        408        424       6340       7111
      NET_RX:       6469      32511       5707       6356         32         24        109       1942
       BLOCK:      90779        881          0          0          0          0      13006      42416
    IRQ_POLL:          0          0          0          0          0          0          0          0
     TASKLET:       3902      14736        139        204         61         84         28         30
       SCHED:      21163      18042      17455      16689      13835      13808      18315      23121
     HRTIMER:         18          8        540       1112          0          0          7        718
         RCU:      18527      17543      19659      19022      19837      19601      17253      26341
                    CPU0       CPU1       CPU2       CPU3       CPU4       CPU5       CPU6       CPU7       
          HI:          0      27509          0          0          0          0          0          0
       TIMER:      24354      20822      21975      21154      21601      21438      19772      24528
      NET_TX:        372        442       2850       4034        408        424       6340       7111
      NET_RX:       6469      32511       5707       6356         32         24        109       1942
       BLOCK:      90779        881          0          0          0          0      13006      42416
    IRQ_POLL:          0          0          0          0          0          0          0          0
     TASKLET:       3902      14736        139        204         61         84         28         30
       SCHED:      21172      18055      17467      16709      13847      13817      18326      23140
     HRTIMER:         18          8        540       1112          0          0          7        718
         RCU:      18536      17557      19671      19043      19850      19610      17264      26362
                    CPU0       CPU1       CPU2       CPU3       CPU4       CPU5       CPU6       CPU7       
          HI:          0      27584          0          0          0          0          0          0
       TIMER:      24365      20834      21985      21179      21612      21447      19785      24546
      NET_TX:        372        442       2850       4034        408        424       6340       7111
      NET_RX:       6469      32511       5707       6356         32         24        109       1942
       BLOCK:      90779        881          0          0          0          0      13006      42416
    IRQ_POLL:          0          0          0          0          0          0          0          0
     TASKLET:       3902      14736        139        204         61         84         28         30
       SCHED:      21184      18067      17477      16733      13858      13826      18340      23161
     HRTIMER:         18          8        540       1112          0          0          7        718
         RCU:      18547      17569      19681      19068      19861      19619      17278      26384
                    CPU0       CPU1       CPU2       CPU3       CPU4       CPU5       CPU6       CPU7       
          HI:          0      27651          0          0          0          0          0          0
       TIMER:      24375      20847      21996      21197      21628      21461      19800      24561
      NET_TX:        372        442       2850       4034        408        424       6340       7111
      NET_RX:       6469      32511       5707       6356         32         24        109       1942
       BLOCK:      90779        881          0          0          0          0      13006      42416
    IRQ_POLL:          0          0          0          0          0          0          0          0
     TASKLET:       3902      14736        139        204         61         84         28         30
       SCHED:      21195      18080      17489      16749      13869      13838      18351      23175
     HRTIMER:         18          8        540       1112          0          0          7        718
         RCU:      18557      17582      19693      19086      19877      19633      17297      26403
                    CPU0       CPU1       CPU2       CPU3       CPU4       CPU5       CPU6       CPU7       
          HI:          0      27727          0          0          0          0          0          0
       TIMER:      24384      20870      21999      21219      21639      21466      19816      24578
      NET_TX:        372        442       2850       4034        408        424       6340       7111
      NET_RX:       6469      32511       5707       6356         32         24        109       1942
       BLOCK:      90779        881          0          0          0          0      13006      42416
    IRQ_POLL:          0          0          0          0          0          0          0          0
     TASKLET:       3902      14736        139        204         61         84         28         30
       SCHED:      21204      18101      17492      16771      13880      13843      18367      23195
     HRTIMER:         18          8        540       1112          0          0          7        718
         RCU:      18566      17604      19696      19111      19888      19638      17313      26423
                    CPU0       CPU1       CPU2       CPU3       CPU4       CPU5       CPU6       CPU7       
          HI:          0      27796          0          0          0          0          0          0
       TIMER:      24391      20877      22019      21242      21648      21471      19825      24593
      NET_TX:        372        442       2850       4034        408        424       6340       7111
      NET_RX:       6469      32511       5707       6356         32         24        109       1942
       BLOCK:      90779        881          0          0          0          0      13006      42416
    IRQ_POLL:          0          0          0          0          0          0          0          0
     TASKLET:       3902      14736        139        204         61         84         28         30
       SCHED:      21211      18108      17511      16791      13888      13848      18375      23214
     HRTIMER:         18          8        540       1112          0          0          7        718
         RCU:      18573      17611      19717      19134      19897      19643      17322      26442
                    CPU0       CPU1       CPU2       CPU3       CPU4       CPU5       CPU6       CPU7       
          HI:          0      27869          0          0          0          0          0          0
       TIMER:      24400      20891      22032      21266      21655      21484      19836      24608
      NET_TX:        372        442       2850       4034        408        424       6340       7111
      NET_RX:       6469      32511       5707       6356         32         24        109       1942
       BLOCK:      90779        881          0          0          0          0      13006      42416
    IRQ_POLL:          0          0          0          0          0          0          0          0
     TASKLET:       3902      14736        139        204         61         84         28         30
       SCHED:      21220      18121      17525      16814      13894      13860      18386      23233
     HRTIMER:         18          8        540       1112          0          0          7        718
         RCU:      18582      17626      19731      19156      19904      19657      17334      26463
                    CPU0       CPU1       CPU2       CPU3       CPU4       CPU5       CPU6       CPU7       
          HI:          0      27950          0          0          0          0          0          0
       TIMER:      24411      20916      22044      21291      21668      21494      19855      24631
      NET_TX:        372        442       2850       4034        408        424       6340       7111
      NET_RX:       6469      32511       5707       6356         32         24        109       1942
       BLOCK:      90779        881          0          0          0          0      13006      42416
    IRQ_POLL:          0          0          0          0          0          0          0          0
     TASKLET:       3902      14736        139        204         61         84         28         30
       SCHED:      21232      18147      17536      16838      13906      13870      18402      23248
     HRTIMER:         18          8        540       1112          0          0          7        718
         RCU:      18593      17651      19742      19178      19916      19667      17353      26486
                    CPU0       CPU1       CPU2       CPU3       CPU4       CPU5       CPU6       CPU7       
          HI:          0      28020          0          0          0          0          0          0
       TIMER:      24420      20927      22057      21314      21675      21517      19868      24650
      NET_TX:        372        442       2850       4035        411        427       6340       7111
      NET_RX:       6469      32515       5707       6356         32         24        109       1942
       BLOCK:      90779        881          0          0          0          0      13006      42416
    IRQ_POLL:          0          0          0          0          0          0          0          0
     TASKLET:       3902      14740        139        204         61         84         28         30
       SCHED:      21241      18158      17549      16860      13913      13893      18415      23267
     HRTIMER:         18          8        540       1112          0          0          7        718
         RCU:      18602      17662      19755      19200      19923      19691      17366      26506
                    CPU0       CPU1       CPU2       CPU3       CPU4       CPU5       CPU6       CPU7       
          HI:          0      28093          0          0          0          0          0          0
       TIMER:      24429      20934      22073      21336      21684      21537      19883      24666
      NET_TX:        372        444       2850       4036        411        427       6340       7111
      NET_RX:       6469      32520       5707       6357         32         24        109       1942
       BLOCK:      90779        881          0          0          0          0      13006      42416
    IRQ_POLL:          0          0          0          0          0          0          0          0
     TASKLET:       3902      14744        139        204         61         84         28         30
       SCHED:      21250      18165      17562      16882      13922      13915      18430      23285
     HRTIMER:         18          8        540       1112          0          0          7        718
         RCU:      18611      17669      19771      19221      19932      19715      17381      26525
                    CPU0       CPU1       CPU2       CPU3       CPU4       CPU5       CPU6       CPU7       
          HI:          0      28178          0          0          0          0          0          0
       TIMER:      24441      20957      22094      21351      21695      21555      19896      24688
      NET_TX:        372        444       2850       4036        411        427       6340       7111
      NET_RX:       6469      32520       5707       6357         32         24        109       1942
       BLOCK:      90781        881          0          0          0          0      13006      42416
    IRQ_POLL:          0          0          0          0          0          0          0          0
     TASKLET:       3902      14745        139        204         61         84         28         30
       SCHED:      21262      18187      17583      16897      13933      13931      18444      23306
     HRTIMER:         18          8        540       1112          0          0          7        718
         RCU:      18623      17694      19791      19237      19943      19733      17395      26547
                    CPU0       CPU1       CPU2       CPU3       CPU4       CPU5       CPU6       CPU7       
          HI:          0      28248          0          0          0          0          0          0
       TIMER:      24454      20979      22109      21370      21706      21565      19913      24708
      NET_TX:        372        444       2850       4036        411        427       6340       7111
      NET_RX:       6469      32520       5707       6357         32         24        109       1942
       BLOCK:      90781        881          0          0          0          0      13006      42416
    IRQ_POLL:          0          0          0          0          0          0          0          0
     TASKLET:       3902      14745        139        204         61         84         28         30
       SCHED:      21275      18211      17595      16913      13944      13940      18460      23323
     HRTIMER:         18          8        540       1112          0          0          7        718
         RCU:      18636      17715      19806      19257      19954      19743      17412      26569
                    CPU0       CPU1       CPU2       CPU3       CPU4       CPU5       CPU6       CPU7       
          HI:          0      28318          0          0          0          0          0          0
       TIMER:      24478      20998      22122      21382      21719      21573      19930      24726
      NET_TX:        372        444       2850       4036        411        427       6340       7111
      NET_RX:       6469      32520       5707       6357         32         24        109       1942
       BLOCK:      90781        881          0          0          0          0      13006      42416
    IRQ_POLL:          0          0          0          0          0          0          0          0
     TASKLET:       3902      14745        139        204         61         84         28         30
       SCHED:      21299      18231      17610      16923      13957      13950      18477      23343
     HRTIMER:         18          8        540       1112          0          0          7        718
         RCU:      18658      17736      19820      19269      19967      19752      17430      26588
                    CPU0       CPU1       CPU2       CPU3       CPU4       CPU5       CPU6       CPU7       
          HI:          0      28394          0          0          0          0          0          0
       TIMER:      24492      21022      22137      21391      21740      21588      19941      24744
      NET_TX:        372        446       2850       4036        411        427       6340       7112
      NET_RX:       6469      32523       5708       6358         32         24        109       1942
       BLOCK:      90812        881          0          0          0          0      13006      42416
    IRQ_POLL:          0          0          0          0          0          0          0          0
     TASKLET:       3902      14748        139        204         61         84         28         30
       SCHED:      21313      18252      17624      16931      13976      13962      18487      23362
     HRTIMER:         18          8        540       1112          0          0          7        718
         RCU:      18672      17758      19835      19278      19989      19768      17441      26606
                    CPU0       CPU1       CPU2       CPU3       CPU4       CPU5       CPU6       CPU7       
          HI:          0      28462          0          0          0          0          0          0
       TIMER:      24506      21045      22147      21403      21760      21609      19959      24760
      NET_TX:        373        446       2851       4036        411        429       6340       7112
      NET_RX:       6469      32538       5711       6361         32         24        109       1942
       BLOCK:      90884        881          0          0          0          0      13006      42416
    IRQ_POLL:          0          0          0          0          0          0          0          0
     TASKLET:       3902      14760        139        204         61         84         28         30
       SCHED:      21330      18272      17638      16944      13983      13971      18501      23381
     HRTIMER:         18          8        540       1112          0          0          7        718
         RCU:      18688      17777      19846      19290      20009      19789      17459      26624
                    CPU0       CPU1       CPU2       CPU3       CPU4       CPU5       CPU6       CPU7       
          HI:          0      28532          0          0          0          0          0          0
       TIMER:      24527      21069      22161      21421      21779      21629      19977      24783
      NET_TX:        374        448       2852       4038        411        429       6341       7112
      NET_RX:       6469      32559       5714       6365         32         24        109       1942
       BLOCK:      90944        881          0          0          0          0      13006      42416
    IRQ_POLL:          0          0          0          0          0          0          0          0
     TASKLET:       3902      14772        139        204         61         84         28         30
       SCHED:      21353      18296      17650      16960      13993      13976      18516      23396
     HRTIMER:         18          8        540       1112          0          0          7        718
         RCU:      18708      17794      19859      19306      20028      19808      17476      26648
                    CPU0       CPU1       CPU2       CPU3       CPU4       CPU5       CPU6       CPU7       
          HI:          0      28609          0          0          0          0          0          0
       TIMER:      24536      21083      22180      21445      21792      21644      19992      24803
      NET_TX:        374        448       2852       4038        411        429       6341       7112
      NET_RX:       6469      32562       5715       6365         32         24        109       1942
       BLOCK:      90945        881          0          0          0          0      13006      42416
    IRQ_POLL:          0          0          0          0          0          0          0          0
     TASKLET:       3902      14774        139        204         61         84         28         30
       SCHED:      21364      18310      17672      16980      14005      13991      18531      23418
     HRTIMER:         18          8        540       1112          0          0          7        718
         RCU:      18717      17808      19880      19329      20041      19823      17491      26671
                    CPU0       CPU1       CPU2       CPU3       CPU4       CPU5       CPU6       CPU7       
          HI:          0      28676          0          0          0          0          0          0
       TIMER:      24544      21094      22201      21454      21802      21665      20006      24819
      NET_TX:        374        448       2853       4038        411        430       6341       7112
      NET_RX:       6469      32564       5716       6365         32         26        109       1942
       BLOCK:      90945        881          0          0          0          0      13006      42416
    IRQ_POLL:          0          0          0          0          0          0          0          0
     TASKLET:       3902      14778        139        204         61         84         28         30
       SCHED:      21372      18320      17694      16989      14015      14012      18545      23436
     HRTIMER:         18          8        540       1112          0          0          7        718
         RCU:      18725      17818      19902      19338      20051      19842      17505      26690
                    CPU0       CPU1       CPU2       CPU3       CPU4       CPU5       CPU6       CPU7       
          HI:          0      28747          0          0          0          0          0          0
       TIMER:      24562      21109      22216      21472      21808      21677      20017      24836
      NET_TX:        374        448       2853       4038        411        430       6341       7112
      NET_RX:       6469      32564       5716       6365         32         26        109       1942
       BLOCK:      90945        881          0          0          0          0      13006      42416
    IRQ_POLL:          0          0          0          0          0          0          0          0
     TASKLET:       3902      14779        139        204         61         84         28         30
       SCHED:      21391      18335      17709      17006      14021      14024      18556      23454
     HRTIMER:         18          8        540       1112          0          0          7        718
         RCU:      18744      17833      19918      19356      20057      19854      17516      26708
                    CPU0       CPU1       CPU2       CPU3       CPU4       CPU5       CPU6       CPU7       
          HI:          0      28819          0          0          0          0          0          0
       TIMER:      24572      21120      22242      21494      21819      21687      20030      24857
      NET_TX:        374        448       2853       4038        411        430       6341       7112
      NET_RX:       6469      32564       5716       6365         32         26        109       1942
       BLOCK:      90945        881          0          0          0          0      13006      42416
    IRQ_POLL:          0          0          0          0          0          0          0          0
     TASKLET:       3902      14779        139        204         61         84         28         30
       SCHED:      21401      18345      17733      17025      14032      14033      18569      23474
     HRTIMER:         18          8        540       1112          0          0          7        718
         RCU:      18756      17844      19943      19378      20068      19864      17529      26729
                    CPU0       CPU1       CPU2       CPU3       CPU4       CPU5       CPU6       CPU7       
          HI:          0      28897          0          0          0          0          0          0
       TIMER:      24588      21128      22257      21516      21840      21695      20049      24875
      NET_TX:        374        448       2853       4038        411        430       6342       7112
      NET_RX:       6469      32564       5716       6365         32         26        109       1942
       BLOCK:      90945        881          0          0          0          0      13006      42416
    IRQ_POLL:          0          0          0          0          0          0          0          0
     TASKLET:       3902      14779        139        204         61         84         28         30
       SCHED:      21418      18355      17748      17048      14048      14040      18588      23487
     HRTIMER:         18          8        540       1112          0          0          7        718
         RCU:      18773      17852      19957      19402      20088      19872      17549      26750
                    CPU0       CPU1       CPU2       CPU3       CPU4       CPU5       CPU6       CPU7       
          HI:          0      28958          0          0          0          0          0          0
       TIMER:      24605      21138      22274      21536      21859      21710      20061      24889
      NET_TX:        374        448       2853       4038        411        430       6342       7112
      NET_RX:       6469      32564       5716       6365         32         26        109       1942
       BLOCK:      90945        881          0          0          0          0      13006      42416
    IRQ_POLL:          0          0          0          0          0          0          0          0
     TASKLET:       3902      14779        139        204         61         84         28         30
       SCHED:      21436      18366      17760      17068      14055      14048      18600      23502
     HRTIMER:         18          8        540       1112          0          0          7        718
         RCU:      18790      17862      19974      19418      20107      19888      17562      26765
                    CPU0       CPU1       CPU2       CPU3       CPU4       CPU5       CPU6       CPU7       
          HI:          0      29019          0          0          0          0          0          0
       TIMER:      24626      21153      22285      21545      21870      21721      20074      24904
      NET_TX:        374        448       2853       4038        411        430       6342       7112
      NET_RX:       6469      32564       5716       6365         32         26        109       1942
       BLOCK:      90945        881          0          0          0          0      13006      42416
    IRQ_POLL:          0          0          0          0          0          0          0          0
     TASKLET:       3902      14779        139        204         61         84         28         30
       SCHED:      21456      18384      17770      17077      14062      14059      18612      23517
     HRTIMER:         18          8        540       1112          0          0          7        718
         RCU:      18810      17879      19985      19427      20118      19899      17575      26781
                    CPU0       CPU1       CPU2       CPU3       CPU4       CPU5       CPU6       CPU7       
          HI:          0      29098          0          0          0          0          0          0
       TIMER:      24653      21165      22296      21549      21892      21732      20089      24922
      NET_TX:        374        448       2853       4038        411        430       6342       7112
      NET_RX:       6469      32564       5716       6365         32         26        109       1942
       BLOCK:      90945        881          0          0          0          0      13006      42416
    IRQ_POLL:          0          0          0          0          0          0          0          0
     TASKLET:       3902      14779        139        204         61         84         28         30
       SCHED:      21483      18397      17781      17081      14088      14071      18627      23540
     HRTIMER:         18          8        540       1112          0          0          7        718
         RCU:      18835      17891      19996      19431      20145      19911      17590      26804
                    CPU0       CPU1       CPU2       CPU3       CPU4       CPU5       CPU6       CPU7       
          HI:          0      29183          0          0          0          0          0          0
       TIMER:      24682      21186      22307      21560      21903      21749      20104      24945
      NET_TX:        374        448       2853       4038        411        430       6342       7112
      NET_RX:       6469      32564       5716       6365         32         26        109       1942
       BLOCK:      90945        881          0          0          0          0      13006      42416
    IRQ_POLL:          0          0          0          0          0          0          0          0
     TASKLET:       3902      14779        139        204         61         84         28         30
       SCHED:      21509      18423      17794      17094      14100      14088      18642      23561
     HRTIMER:         18          8        540       1112          0          0          7        718
         RCU:      18862      17916      20008      19443      20157      19929      17607      26831
                    CPU0       CPU1       CPU2       CPU3       CPU4       CPU5       CPU6       CPU7       
          HI:          0      29254          0          0          0          0          0          0
       TIMER:      24690      21202      22314      21570      21923      21771      20117      24963
      NET_TX:        374        448       2853       4038        411        430       6342       7112
      NET_RX:       6469      32564       5716       6365         32         26        109       1942
       BLOCK:      90945        881          0          0          0          0      13006      42416
    IRQ_POLL:          0          0          0          0          0          0          0          0
     TASKLET:       3902      14779        139        204         61         84         28         30
       SCHED:      21517      18438      17801      17104      14119      14108      18655      23583
     HRTIMER:         18          8        540       1112          0          0          7        718
         RCU:      18870      17932      20015      19453      20176      19953      17620      26853
                    CPU0       CPU1       CPU2       CPU3       CPU4       CPU5       CPU6       CPU7       
          HI:          0      29320          0          0          0          0          0          0
       TIMER:      24703      21210      22336      21581      21942      21783      20128      24980
      NET_TX:        374        448       2853       4038        411        430       6342       7112
      NET_RX:       6469      32564       5716       6365         32         26        109       1942
       BLOCK:      90945        881          0          0          0          0      13006      42416
    IRQ_POLL:          0          0          0          0          0          0          0          0
     TASKLET:       3902      14779        139        204         61         84         28         30
       SCHED:      21530      18446      17825      17115      14138      14120      18665      23600
     HRTIMER:         18          8        540       1112          0          0          7        718
         RCU:      18883      17940      20039      19464      20195      19965      17631      26870
                    CPU0       CPU1       CPU2       CPU3       CPU4       CPU5       CPU6       CPU7       
          HI:          0      29399          0          0          0          0          0          0
       TIMER:      24731      21220      22362      21595      21957      21796      20146      25001
      NET_TX:        374        448       2853       4038        411        430       6342       7112
      NET_RX:       6469      32564       5716       6365         32         26        109       1942
       BLOCK:      90946        881          0          0          0          0      13006      42416
    IRQ_POLL:          0          0          0          0          0          0          0          0
     TASKLET:       3902      14779        139        204         61         84         28         30
       SCHED:      21555      18457      17853      17128      14152      14133      18683      23617
     HRTIMER:         18          8        540       1112          0          0          7        718
         RCU:      18910      17951      20067      19478      20210      19978      17650      26893
                    CPU0       CPU1       CPU2       CPU3       CPU4       CPU5       CPU6       CPU7       
          HI:          0      29475          0          0          0          0          0          0
       TIMER:      24741      21234      22387      21610      21973      21810      20166      25025
      NET_TX:        374        448       2853       4038        411        430       6342       7112
      NET_RX:       6469      32564       5716       6365         32         26        109       1942
       BLOCK:      90947        881          0          0          0          0      13006      42416
    IRQ_POLL:          0          0          0          0          0          0          0          0
     TASKLET:       3902      14779        139        204         61         84         28         30
       SCHED:      21566      18471      17877      17145      14169      14147      18691      23637
     HRTIMER:         18          8        540       1112          0          0          7        718
         RCU:      18920      17966      20090      19493      20227      19992      17670      26917
                    CPU0       CPU1       CPU2       CPU3       CPU4       CPU5       CPU6       CPU7       
          HI:          0      29543          0          0          0          0          0          0
       TIMER:      24755      21250      22404      21634      21985      21820      20179      25041
      NET_TX:        374        448       2853       4038        411        430       6342       7112
      NET_RX:       6469      32564       5716       6365         32         26        109       1942
       BLOCK:      90947        881          0          0          0          0      13006      42416
    IRQ_POLL:          0          0          0          0          0          0          0          0
     TASKLET:       3902      14779        139        204         61         84         28         30
       SCHED:      21582      18487      17895      17169      14181      14156      18704      23656
     HRTIMER:         18          8        540       1112          0          0          7        718
         RCU:      18935      17982      20109      19517      20239      20002      17684      26936
                    CPU0       CPU1       CPU2       CPU3       CPU4       CPU5       CPU6       CPU7       
          HI:          0      29612          0          0          0          0          0          0
       TIMER:      24770      21264      22427      21649      22006      21834      20189      25058
      NET_TX:        374        448       2853       4038        411        430       6342       7112
      NET_RX:       6469      32564       5716       6365         32         26        109       1942
       BLOCK:      90950        881          0          0          0          0      13006      42416
    IRQ_POLL:          0          0          0          0          0          0          0          0
     TASKLET:       3902      14779        139        204         61         84         28         30
       SCHED:      21597      18501      17917      17183      14200      14169      18714      23672
     HRTIMER:         18          8        540       1112          0          0          7        718
         RCU:      18950      17996      20133      19532      20260      20016      17694      26953
                    CPU0       CPU1       CPU2       CPU3       CPU4       CPU5       CPU6       CPU7       
          HI:          0      29684          0          0          0          0          0          0
       TIMER:      24795      21278      22448      21663      22025      21855      20201      25074
      NET_TX:        374        449       2853       4038        415        437       6342       7112
      NET_RX:       6469      32587       5723       6365         32         26        109       1942
       BLOCK:      90996        881          0          0          0          0      13006      42416
