                    CPU0       CPU1       CPU2       CPU3       CPU4       CPU5       CPU6       CPU7       
          HI:          0      27407          0          0          0          0          0          0
       TIMER:      24270      20698      21771      21015      21483      21303      19690      24344
      NET_TX:        372        442       2850       4034        408        424       6340       7111
      NET_RX:       6469      32511       5707       6356         32         24        109       1942
       BLOCK:      90727        881          0          0          0          0      13006      42412
    IRQ_POLL:          0          0          0          0          0          0          0          0
     TASKLET:       3902      14736        139        204         61         84         28         30
       SCHED:      21093      17935      17262      16570      13743      13686      18235      22907
     HRTIMER:         18          8        540       1112          0          0          7        718
         RCU:      18453      17446      19470      18909      19733      19477      17178      26113
                    CPU0       CPU1       CPU2       CPU3       CPU4       CPU5       CPU6       CPU7       
          HI:          0      27407          0          0          0          0          0          0
       TIMER:      24273      20702      21789      21026      21485      21310      19693      24356
      NET_TX:        372        442       2850       4034        408        424       6340       7111
      NET_RX:       6469      32511       5707       6356         32         24        109       1942
       BLOCK:      90727        881          0          0          0          0      13006      42412
    IRQ_POLL:          0          0          0          0          0          0          0          0
     TASKLET:       3902      14736        139        204         61         84         28         30
       SCHED:      21097      17939      17280      16581      13745      13693      18239      22924
     HRTIMER:         18          8        540       1112          0          0          7        718
         RCU:      18457      17450      19485      18919      19735      19484      17182      26130
                    CPU0       CPU1       CPU2       CPU3       CPU4       CPU5       CPU6       CPU7       
          HI:          0      27407          0          0          0          0          0          0
       TIMER:      24277      20704      21811      21034      21488      21318      19694      24372
      NET_TX:        372        442       2850       4034        408        424       6340       7111
      NET_RX:       6469      32511       5707       6356         32         24        109       1942
       BLOCK:      90761        881          0          0          0          0      13006      42412
    IRQ_POLL:          0          0          0          0          0          0          0          0
     TASKLET:       3902      14736        139        204         61         84         28         30
       SCHED:      21101      17941      17302      16589      13748      13701      18240      22946
     HRTIMER:         18          8        540       1112          0          0          7        718
         RCU:      18461      17452      19504      18927      19738      19492      17183      26152
                    CPU0       CPU1       CPU2       CPU3       CPU4       CPU5       CPU6       CPU7       
