Time,Source_IP,Dest_IP,Protocol,Summary,
0.002609,100.122.218.243,198.224.186.135,DNS,3 0.002609 12:01:47.031252 100.122.218.243 198.224.186.135 DNS 94  Standard query 0x7e03 AAAA arcorecloudanchor.googleapis.com,
0.157035,198.224.186.135,100.122.218.243,DNS,11 0.157035 12:01:47.185678 198.224.186.135 100.122.218.243 DNS 110  Standard query response 0x1f91 A arcorecloudanchor.googleapis.com A 142.250.81.234,
0.171759,198.224.186.135,100.122.218.243,DNS,13 0.171759 12:01:47.200402 198.224.186.135 100.122.218.243 DNS 122  Standard query response 0x7e03 AAAA arcorecloudanchor.googleapis.com AAAA 2607:f8b0:4006:807::200a,
0.842343,100.122.218.243,198.224.186.135,DNS,70 0.842343 12:01:47.870986 100.122.218.243 198.224.186.135 DNS 94  Standard query 0xa7a2 AAAA visualpositioning.googleapis.com,
0.84514,100.122.218.243,198.224.186.135,DNS,71 0.84514 12:01:47.873783 100.122.218.243 198.224.186.135 DNS 94  Standard query 0x589f A visualpositioning.googleapis.com,
0.897464,198.224.186.135,100.122.218.243,DNS,77 0.897464 12:01:47.926107 198.224.186.135 100.122.218.243 DNS 122  Standard query response 0xa7a2 AAAA visualpositioning.googleapis.com AAAA 2607:f8b0:4006:80d::200a,
0.917251,198.224.186.135,100.122.218.243,DNS,79 0.917251 12:01:47.945894 198.224.186.135 100.122.218.243 DNS 110  Standard query response 0x589f A visualpositioning.googleapis.com A 142.250.80.106,
